Index,Temperature,Humidity,DATE
1,28.6,30,13/04/2024 00:50
2,28.5,30,13/04/2024 00:50
3,28.5,29,13/04/2024 00:50
4,28.5,28,13/04/2024 00:50
5,28.5,27,13/04/2024 00:51
6,28.4,27,13/04/2024 00:51
7,28.3,27,13/04/2024 00:51
8,28.3,27,13/04/2024 00:51
9,28.3,26,13/04/2024 00:51
10,28.3,26,13/04/2024 00:51
11,28.3,26,13/04/2024 00:52
12,28.3,26,13/04/2024 00:52
13,28.4,26,13/04/2024 00:52
14,28.3,26,13/04/2024 00:52
15,28.4,26,13/04/2024 00:52
16,28.3,26,13/04/2024 00:52
17,28.3,26,13/04/2024 00:53
18,28.3,26,13/04/2024 00:53
19,28.3,26,13/04/2024 00:53
20,28.3,26,13/04/2024 00:53
21,28.3,26,13/04/2024 00:53
22,28.3,26,13/04/2024 00:53
23,28.3,26,13/04/2024 00:54
24,28.3,26,13/04/2024 00:54
25,28.3,26,13/04/2024 00:54
26,28.3,26,13/04/2024 00:54
27,28.3,26,13/04/2024 00:54
28,28.2,26,13/04/2024 00:54
29,28.3,26,13/04/2024 00:55
30,28.3,26,13/04/2024 00:55
31,28.3,26,13/04/2024 00:55
32,28.4,26,13/04/2024 00:55
33,28.3,26,13/04/2024 00:55
34,28.3,26,13/04/2024 00:55
35,28.3,26,13/04/2024 00:56
36,28.3,26,13/04/2024 00:56
37,28.4,26,13/04/2024 00:56
38,28.3,26,13/04/2024 00:56
39,28.3,26,13/04/2024 00:56
40,28.3,26,13/04/2024 00:56
41,28.4,26,13/04/2024 00:57
42,28.4,26,13/04/2024 00:57
43,28.3,26,13/04/2024 00:57
44,28.3,26,13/04/2024 00:57
45,28.4,26,13/04/2024 00:57
46,28.4,26,13/04/2024 00:57
47,28.3,26,13/04/2024 00:58
48,28.4,26,13/04/2024 00:58
49,28.4,26,13/04/2024 00:58
50,28.3,26,13/04/2024 00:58
51,28.4,26,13/04/2024 00:58
52,28.4,26,13/04/2024 00:59
53,28.4,26,13/04/2024 00:59
54,28.3,26,13/04/2024 00:59
55,28.4,26,13/04/2024 00:59
56,28.3,26,13/04/2024 00:59
57,28.3,26,13/04/2024 00:59
58,28.4,26,13/04/2024 01:00
59,28.4,26,13/04/2024 01:00
60,28.4,26,13/04/2024 01:00
61,28.4,26,13/04/2024 01:00
62,28.3,26,13/04/2024 01:00
63,28.3,26,13/04/2024 01:00
64,28.4,26,13/04/2024 01:01
65,28.4,26,13/04/2024 01:01
66,28.4,26,13/04/2024 01:01
67,28.3,26,13/04/2024 01:01
68,28.3,26,13/04/2024 01:01
69,28.3,26,13/04/2024 01:01
70,28.4,26,13/04/2024 01:02
71,28.3,26,13/04/2024 01:02
72,28.3,26,13/04/2024 01:02
73,28.3,26,13/04/2024 01:02
74,28.3,26,13/04/2024 01:02
75,28.3,26,13/04/2024 01:02
76,28.3,26,13/04/2024 01:03
77,28.3,26,13/04/2024 01:03
78,28.3,26,13/04/2024 01:03
79,28.3,27,13/04/2024 01:03
81,28.5,26,13/04/2024 01:03
82,28.4,26,13/04/2024 01:04
83,28.5,27,13/04/2024 01:04
84,28.4,27,13/04/2024 01:04
85,28.4,26,13/04/2024 01:04
86,28.5,26,13/04/2024 01:04
87,28.6,27,13/04/2024 01:04
88,28.5,27,13/04/2024 01:05
89,28.6,27,13/04/2024 01:05
90,28.6,27,13/04/2024 01:05
91,28.6,26,13/04/2024 01:05
92,28.6,26,13/04/2024 01:05
93,28.6,26,13/04/2024 01:05
94,28.6,26,13/04/2024 01:06
95,28.6,26,13/04/2024 01:06
96,28.6,26,13/04/2024 01:06
97,28.6,26,13/04/2024 01:06
98,28.6,26,13/04/2024 01:06
99,28.6,26,13/04/2024 01:06
100,28.6,26,13/04/2024 01:07
101,28.6,26,13/04/2024 01:07
102,28.6,26,13/04/2024 01:07
103,28.6,26,13/04/2024 01:07
104,28.6,26,13/04/2024 01:07
105,28.6,26,13/04/2024 01:07
106,28.6,26,13/04/2024 01:08
107,28.6,26,13/04/2024 01:08
108,28.6,26,13/04/2024 01:08
109,28.6,26,13/04/2024 01:08
110,28.6,26,13/04/2024 01:08
111,28.6,26,13/04/2024 01:08
112,28.6,26,13/04/2024 01:09
113,28.5,26,13/04/2024 01:09
114,28.5,26,13/04/2024 01:09
115,28.6,26,13/04/2024 01:09
116,28.5,26,13/04/2024 01:09
117,28.5,26,13/04/2024 01:10
118,28.5,26,13/04/2024 01:10
119,28.5,26,13/04/2024 01:10
