Index,Temperature,Humidity,DATE
1,31.50,10.00,14/4/2024 19:10:44
3,31.40,11.00,14/4/2024 19:11:0
4,31.40,11.00,14/4/2024 19:11:10
5,31.40,11.00,14/4/2024 19:12:0
6,31.50,13.00,14/4/2024 19:12:10
7,31.30,19.00,14/4/2024 19:12:20
8,31.30,20.00,14/4/2024 19:12:30
9,31.50,23.00,14/4/2024 19:12:40
10,31.30,18.00,14/4/2024 19:12:50
11,31.30,16.00,14/4/2024 19:13:6
12,31.30,14.00,14/4/2024 19:13:16
13,31.30,13.00,14/4/2024 19:13:26
14,31.30,13.00,14/4/2024 19:13:36
15,31.30,13.00,14/4/2024 19:13:46
16,31.30,15.00,14/4/2024 19:14:2
17,31.30,18.00,121/11/2120 122:11:0
18,31.30,17.00,14/4/2024 19:14:23
19,31.30,20.00,14/4/2024 19:14:33
20,31.30,17.00,14/4/2024 19:14:43
21,31.30,16.00,14/4/2024 19:15:43
22,31.30,15.00,14/4/2024 19:15:59
23,31.30,14.00,14/4/2024 19:16:18
24,31.30,23.00,14/4/2024 19:16:34
25,31.30,24.00,14/4/2024 19:16:44
26,31.30,24.00,14/4/2024 19:16:54
27,31.30,20.00,14/4/2024 19:17:11
28,31.30,22.00,14/4/2024 19:17:22
29,31.30,30.00,14/4/2024 19:17:40
30,31.40,26.00,14/4/2024 19:17:54
31,31.30,17.00,14/4/2024 19:18:21
32,31.30,17.00,14/4/2024 19:18:44
33,31.40,17.00,14/4/2024 19:19:0
34,31.30,16.00,14/4/2024 19:19:10
35,31.30,14.00,14/4/2024 19:19:20
36,31.30,12.00,14/4/2024 19:19:30
37,31.30,12.00,14/4/2024 19:19:40
38,31.30,11.00,14/4/2024 19:19:50
39,31.30,11.00,14/4/2024 19:20:0
40,31.30,11.00,14/4/2024 19:20:10
41,31.30,11.00,14/4/2024 19:20:20
42,31.30,11.00,14/4/2024 19:20:30
43,31.30,11.00,14/4/2024 19:20:41
44,31.30,11.00,14/4/2024 19:20:51
45,31.30,11.00,14/4/2024 19:21:1
46,31.30,11.00,14/4/2024 19:21:11
47,31.30,11.00,14/4/2024 19:21:21
48,31.30,11.00,14/4/2024 19:21:31
49,31.30,11.00,14/4/2024 19:21:41
50,31.30,11.00,14/4/2024 19:21:51
51,31.30,11.00,14/4/2024 19:22:1
52,31.30,11.00,14/4/2024 19:22:11
53,31.30,11.00,14/4/2024 19:22:22
54,31.30,11.00,14/4/2024 19:22:32
55,31.30,11.00,14/4/2024 19:22:42
56,31.30,11.00,14/4/2024 19:22:52
57,31.30,11.00,14/4/2024 19:23:2
58,31.30,11.00,14/4/2024 19:23:12
59,31.30,11.00,14/4/2024 19:23:22
60,31.30,11.00,14/4/2024 19:23:32
61,31.20,11.00,14/4/2024 19:23:42
62,31.30,11.00,14/4/2024 19:23:52
63,31.30,11.00,14/4/2024 19:24:3
64,31.30,11.00,14/4/2024 19:24:13
65,31.30,11.00,14/4/2024 19:24:23
66,31.30,11.00,14/4/2024 19:24:33
67,31.30,11.00,14/4/2024 19:24:43
68,31.20,11.00,14/4/2024 19:24:53
69,31.20,11.00,14/4/2024 19:25:3
70,31.30,11.00,14/4/2024 19:25:13
71,31.30,11.00,14/4/2024 19:25:23
72,31.30,11.00,14/4/2024 19:25:33
73,31.30,11.00,14/4/2024 19:25:44
74,31.30,11.00,14/4/2024 19:25:54
